gene,l1norm,genelen,sampid1,sampid2
3-PA,4.255852443139244,2208,6-23,2-30
4-HA,15.247282303249051,1745,6-23,2-30
5-NP,4.365794550277309,1507,6-23,2-30
6-NA,8.158768459915612,1437,6-23,2-30
7-M,0.4174593146874344,1002,6-23,2-30
8-NS,0.045180722891566216,864,6-23,2-30
1-PB2,8.204527083434558,2301,6-23,2-31
2-PB1,10.610178657123662,2311,6-23,2-31
3-PA,4.463863659713074,2208,6-23,2-31
4-HA,15.035561904808107,1745,6-23,2-31
5-NP,4.297612732095491,1507,6-23,2-31
6-NA,8.326346244041428,1437,6-23,2-31
7-M,0.5120383904942437,1002,6-23,2-31
8-NS,0.1492689535845838,864,6-23,2-31
1-PB2,4.266558409698036,2301,6-23,6-26
2-PB1,2.5877493955639648,2311,6-23,6-26
3-PA,4.255852443139244,2208,6-23,6-26
4-HA,11.44128405453207,1745,6-23,6-26
5-NP,2.297612732095491,1507,6-23,6-26
6-NA,6.158768459915612,1437,6-23,6-26
7-M,2.2677362096089406,1002,6-23,6-26
8-NS,0.045180722891566216,864,6-23,6-26
1-PB2,6.270445737010997,2301,6-23,3-28
2-PB1,13.548141538120225,2311,6-23,3-28
3-PA,6.459697819561048,2208,6-23,3-28
4-HA,14.696417070219574,1741,6-23,3-28
5-NP,7.023412282404996,1507,6-23,3-28
6-NA,11.851750916055966,1437,6-23,3-28
7-M,2.330502792948304,1002,6-23,3-28
8-NS,4.045180722891566,864,6-23,3-28
1-PB2,16.202838179533188,2301,6-23,4-7
2-PB1,12.309971617786188,2311,6-23,4-7
3-PA,10.701035167391737,2208,6-23,4-7
4-HA,12.765530932863488,1734,6-23,4-7
5-NP,8.29761273209549,1507,6-23,4-7
6-NA,12.158768459915613,1437,6-23,4-7
7-M,4.4174593146874335,1002,6-23,4-7
8-NS,0.045180722891566216,864,6-23,4-7
1-PB2,26.64016200223761,2301,6-23,3-10
2-PB1,11.045362618431966,2311,6-23,3-10
3-PA,14.40998667000433,2207,6-23,3-10
4-HA,10.723221861204383,1675,6-23,3-10
5-NP,10.59584169378087,1507,6-23,3-10
6-NA,12.243474342268556,1437,6-23,3-10
7-M,2.4174593146874344,1002,6-23,3-10
8-NS,4.093084914508333,864,6-23,3-10
1-PB2,10.140010954402301,2301,6-23,3-24
2-PB1,14.780768017318096,2311,6-23,3-24
3-PA,2.4834732430511237,2208,6-23,3-24
4-HA,11.045736739026776,1734,6-23,3-24
5-NP,4.58162888198492,1507,6-23,3-24
6-NA,2.368645003125488,1437,6-23,3-24
7-M,0.6592528323430209,1002,6-23,3-24
8-NS,0.09459932754272904,864,6-23,3-24
1-PB2,8.1400109544023,2301,6-23,3-30
2-PB1,6.60146142219734,2310,6-23,3-30
3-PA,8.400465850721169,2208,6-23,3-30
4-HA,14.546702633071234,1737,6-23,3-30
5-NP,2.297612732095491,1507,6-23,3-30
6-NA,8.80158280127185,1437,6-23,3-30
7-M,0.5312804528988164,1002,6-23,3-30
8-NS,0.045180722891566216,864,6-23,3-30
1-PB2,12.460010954402302,2301,6-23,3-7
2-PB1,7.87107834383988,2280,6-23,3-7
3-PA,4.644336604845536,2208,6-23,3-7
4-HA,12.899690324876909,1643,6-23,3-7
5-NP,5.281843447962056,1507,6-23,3-7
6-NA,4.700667115690901,1087,6-23,3-7
7-M,2.886357540033015,1002,6-23,3-7
8-NS,0.6047045324153757,864,6-23,3-7
1-PB2,8.631439525830869,2301,6-23,2-19
2-PB1,4.309971617786188,2311,6-23,2-19
3-PA,2.255852443139244,2208,6-23,2-19
4-HA,8.426085983273277,1745,6-23,2-19
5-NP,2.297612732095491,1507,6-23,2-19
6-NA,4.270737571884723,1437,6-23,2-19
7-M,2.4174593146874352,1002,6-23,2-19
8-NS,0.045180722891566216,864,6-23,2-19
1-PB2,12.255057260487638,2301,6-23,3-6
2-PB1,10.717272832050938,2311,6-23,3-6
3-PA,2.683974856091654,2208,6-23,3-6
4-HA,10.672407988965848,1745,6-23,3-6
5-NP,2.297612732095491,1507,6-23,3-6
6-NA,8.25777836090571,1437,6-23,3-6
7-M,2.4174593146874344,1002,6-23,3-6
8-NS,0.10181261558903268,864,6-23,3-6
1-PB2,0.5772480202499207,2301,6-23,6-18
2-PB1,0.8422945370318837,2311,6-23,6-18
3-PA,0.41026657376506337,2208,6-23,6-18
4-HA,1.3018206596005026,1745,6-23,6-18
5-NP,0.8100045765762818,1507,6-23,6-18
6-NA,0.24280207336098986,1437,6-23,6-18
7-M,0.6705780703425543,1002,6-23,6-18
8-NS,1.188694411260646,864,6-23,6-18
1-PB2,18.29126872170464,2301,6-23,4-1
2-PB1,7.295717860044781,2304,6-23,4-1
3-PA,18.45774602686381,2208,6-23,4-1
4-HA,12.767627339826946,1737,6-23,4-1
5-NP,6.5052317871664345,1507,6-23,4-1
6-NA,10.333754889177623,1437,6-23,4-1
7-M,2.4174593146874344,1002,6-23,4-1
8-NS,2.0451807228915664,864,6-23,4-1
1-PB2,4.620111257599741,2301,6-23,4-4
2-PB1,7.7581418412322245,2311,6-23,4-4
3-PA,6.55427221783158,2208,6-23,4-4
4-HA,12.532885004100713,1744,6-23,4-4
5-NP,2.3438173525575374,1507,6-23,4-4
6-NA,7.067911823327268,1437,6-23,4-4
7-M,0.4464296364081293,1002,6-23,4-4
8-NS,0.2328013909551958,864,6-23,4-4
1-PB2,4.214545115892983,2301,6-23,6-28
2-PB1,2.396928139525317,2311,6-23,6-28
3-PA,4.255852443139244,2208,6-23,6-28
4-HA,9.197262386899393,1745,6-23,6-28
5-NP,2.38800821232148,1507,6-23,6-28
6-NA,6.158768459915612,1437,6-23,6-28
7-M,1.085204946816628,1002,6-23,6-28
8-NS,0.045180722891566216,864,6-23,6-28
1-PB2,8.569823642188254,2301,6-23,2-24
2-PB1,8.716757773991583,2311,6-23,2-24
3-PA,2.68667335871981,2208,6-23,2-24
4-HA,12.415178618378595,1745,6-23,2-24
5-NP,6.563770327693268,1507,6-23,2-24
6-NA,10.947363393225961,1437,6-23,2-24
7-M,0.5789717286188729,1002,6-23,2-24
8-NS,2.3084840484921707,864,6-23,2-24
1-PB2,8.635831788247689,2301,6-23,3-15
2-PB1,9.314802785907515,2284,6-23,3-15
3-PA,6.452893330666815,2208,6-23,3-15
4-HA,10.742800687298539,1743,6-23,3-15
5-NP,4.585629135569271,1507,6-23,3-15
6-NA,7.7382402596639075,1437,6-23,3-15
7-M,0.4174593146874344,1001,6-23,3-15
8-NS,2.1898599337959435,864,6-23,3-15
1-PB2,3.0223375869104494,2301,6-23,2-26
2-PB1,2.700324005203468,2311,6-23,2-26
3-PA,6.4343217300143465,2208,6-23,2-26
4-HA,8.272001053133966,1745,6-23,2-26
5-NP,2.494874754964544,1507,6-23,2-26
6-NA,6.202022171987918,1437,6-23,2-26
7-M,0.3510336550042519,1002,6-23,2-26
8-NS,0.2271997719828404,864,6-23,2-26
1-PB2,18.210682332494176,2301,6-23,4-13
2-PB1,6.418206432299028,2308,6-23,4-13
3-PA,6.323841111694485,2208,6-23,4-13
4-HA,12.75459756976118,1734,6-23,4-13
5-NP,8.29761273209549,1507,6-23,4-13
6-NA,12.207077638659573,1437,6-23,4-13
7-M,4.458696428089496,1002,6-23,4-13
8-NS,0.045180722891566216,864,6-23,4-13
1-PB2,0.2428387178984444,2301,6-23,6-17
2-PB1,0.3099716177861873,2311,6-23,6-17
3-PA,0.4177572050440057,2208,6-23,6-17
4-HA,0.6409967928598493,1745,6-23,6-17
5-NP,0.3716868061695648,1507,6-23,6-17
6-NA,0.20540058426794328,1437,6-23,6-17
7-M,0.35116097214599784,1002,6-23,6-17
8-NS,1.2408328968046096,864,6-23,6-17
1-PB2,18.90696005649652,2301,6-23,3-20
2-PB1,18.50734707625571,2280,6-23,3-20
3-PA,9.646993317677543,2208,6-23,3-20
4-HA,21.099590087185884,1687,6-23,3-20
5-NP,11.039006024977786,1507,6-23,3-20
6-NA,10.158768459915613,1437,6-23,3-20
7-M,4.613583154769256,1000,6-23,3-20
8-NS,0.045180722891566216,864,6-23,3-20
1-PB2,0.38704291335152063,2301,6-23,6-22
2-PB1,0.4755254625459462,2311,6-23,6-22
3-PA,0.5239652542272722,2208,6-23,6-22
4-HA,1.6406684733279824,1734,6-23,6-22
5-NP,0.3754044510415384,1507,6-23,6-22
6-NA,0.4364466972452697,1437,6-23,6-22
7-M,0.38288413377078995,1001,6-23,6-22
8-NS,0.045180722891566216,835,6-23,6-22
1-PB2,8.190552470647786,2301,6-23,2-23
2-PB1,8.659379476114909,2311,6-23,2-23
3-PA,2.447802582128655,2208,6-23,2-23
4-HA,12.405678146065974,1745,6-23,2-23
5-NP,6.461238568848996,1507,6-23,2-23
6-NA,10.237508617395925,1437,6-23,2-23
7-M,0.5360953329245165,1002,6-23,2-23
8-NS,2.0451807228915664,864,6-23,2-23
1-PB2,4.563996369463848,2301,6-23,4-11
2-PB1,5.116670248875064,2311,6-23,4-11
3-PA,2.6807442831695534,2208,6-23,4-11
4-HA,12.944942043070581,1745,6-23,4-11
5-NP,4.4142835788669785,1507,6-23,4-11
6-NA,6.582027691680706,1437,6-23,4-11
7-M,0.5090490761747188,1002,6-23,4-11
8-NS,0.08712543213846805,864,6-23,4-11
1-PB2,16.48573182785951,2301,6-23,3-25
2-PB1,14.309971617786188,2311,6-23,3-25
3-PA,6.255852443139244,2208,6-23,3-25
4-HA,18.557500388716093,1744,6-23,3-25
5-NP,10.29761273209549,1507,6-23,3-25
6-NA,10.207155556689807,1437,6-23,3-25
7-M,2.5142335082358214,1002,6-23,3-25
8-NS,10.045180722891564,864,6-23,3-25
1-PB2,0.2704829866949111,2301,6-23,4-19
2-PB1,0.8308054460048977,2311,6-23,4-19
3-PA,2.9348125239808285,2208,6-23,4-19
4-HA,0.8423706398039139,1745,6-23,4-19
5-NP,0.7803709542693229,1507,6-23,4-19
