sampid,gene,pi
H3N2_1413_T5_N_S504_N709_R,1-PB2,0.00014312667071227908
H3N2_1688_T1_T_S508_N707_R,4-HA,0.00034733790028484534
H3N2_1813_T1_T_S502_N703_R,5-NP,0.00010352660146959406
H3N2_1414_T1_N_S504_N712_R,4-HA,9.770399343896515e-05
H3N2_1828_T2_T_S503_N710_R,1-PB2,0.0003032978524965973
H3N2_3615_T1_N_S504_N708_R,5-NP,0.00027277833613437207
H3N2_1875_T4_N_S508_N712_R,1-PB2,9.512734678848252e-05
H3N2_3608_T5_T_S502_N708_R,1-PB2,7.578706381012871e-05
H3N2_1414_T6_T_S505_N701_RP,2-PB1,0.000382398219502895
H3N2_3608_T0_N_S502_N706_R,5-NP,0.00014669033404011143
H3N2_1707_T4_N_S517_N711_RP,6-NA,0.0002439388689446173
H3N2_1876_T4_N_S517_N706_R,2-PB1,0.00017547918445548775
H3N2_1864_T0_T_S506_N708_R,1-PB2,5.826442604319258e-05
H3N2_1828_T1_N_S503_N709_R,6-NA,6.10716529304678e-05
